"species","latitude","longitude","date_obs","source"
"Libellula depressa",47.4677,7.07387,2025-05-02,"gbif"
"Libellula depressa",47.37253,8.59717,2025-05-15,"gbif"
"Libellula depressa",47.23827,8.52822,2025-05-31,"gbif"
"Libellula depressa",46.961928,7.380362,2025-06-01,"gbif"
"Libellula depressa",47.340931,9.448457,2025-06-09,"gbif"
"Libellula depressa",47.340931,9.448489,2025-06-11,"gbif"
"Libellula depressa",47.340931,9.448414,2025-06-14,"gbif"
"Libellula depressa",47.340931,9.448457,2025-06-09,"gbif"
"Libellula depressa",47.465996,7.692889,2025-06-09,"gbif"
"Libellula depressa",46.793667,6.995081,2025-06-06,"gbif"
"Libellula depressa",47.212919,8.985628,2025-06-06,"gbif"
"Libellula depressa",46.978934,7.403947,2025-06-08,"gbif"
"Libellula depressa",47.341429,9.449202,2025-06-19,"gbif"
"Libellula depressa",47.341473,9.449272,2025-06-18,"gbif"
"Libellula depressa",47.34148,9.449229,2025-06-17,"gbif"
"Libellula depressa",47.341346,9.449186,2025-06-19,"gbif"
"Libellula depressa",47.471587,8.909615,2025-06-13,"gbif"
"Libellula depressa",46.545383,8.703692,2025-06-12,"gbif"
"Libellula depressa",47.267928,8.693625,2025-06-19,"gbif"
"Libellula depressa",47.358112,8.56153,2025-06-18,"gbif"
"Libellula depressa",47.505802,7.80068,2025-06-19,"gbif"
"Libellula depressa",47.341433,9.449213,2025-06-25,"gbif"
"Libellula depressa",47.500683,8.478992,2025-06-25,"gbif"
"Libellula depressa",47.354694,8.18636,2025-06-27,"gbif"
"Libellula depressa",46.15618,8.76552,2025-06-24,"gbif"
"Libellula depressa",46.70333,7.14443,2025-06-12,"gbif"
"Libellula depressa",47.28816,7.20729,2025-06-10,"gbif"
"Libellula depressa",46.28585,9.15802,2025-06-09,"gbif"
"Libellula depressa",47.19806,7.73556,2025-06-26,"gbif"
"Libellula depressa",47.19266,8.59328,2025-06-05,"gbif"
"Libellula depressa",46.15618,8.76552,2025-06-24,"gbif"
