"presence_class","distance_to_nearest_castor_km","elevation","NDVI","t_mean_c","prec_mean_annual","eco_values"
"libellula",18.0283988012584,3114,0.0717055555555556,-4.0333333333333,116.583333333333,5
"libellula",15.4534709276846,2549,0.316155555555556,-2.98333333333329,212.541666666667,5
"libellula",5.00023407920727,2911,0.0884555555555556,-2.29166666666663,164.3125,5
"libellula",5.00025921810481,2178,0.551588888888889,0.133333333333383,120.5625,18
"libellula",20.4446371847436,2240,0.573122222222222,-0.483333333333292,184.520833333333,18
"libellula",31.622130263889,2461,0.501211111111111,-0.887499999999989,197.6875,18
"libellula",15.811414303022,2384,0.549822222222222,-0.593749999999943,144.0625,18
"libellula",11.1795821628401,2023,0.707733333333333,0.141666666666708,152.6875,18
"libellula",33.5414004555334,2205,0.541216666666667,0.920833333333348,198.583333333333,18
"libellula",21.2951712714766,2285,0.51455,1.11250000000001,177.604166666667,39
"libellula",16.7609326742085,1389,0.810038888888889,6.23541666666671,123.125,96
"libellula",31.2968742215956,424,0.782877777777778,12.0208333333334,116.520833333333,96
"libellula",0,533,0.677327777777778,10.4916666666667,94.0416666666667,97
"libellula",5.65320056281544,1522,0.812711111111111,5.84583333333336,106.395833333333,97
"libellula",4.99934441772487,726,0.847061111111111,10.7395833333334,101.125,97
"libellula",4.99964084437982,870,0.854166666666667,8.56250000000006,103.145833333333,97
"libellula",0,542,0.854561111111111,10.525,80.3333333333333,97
"libellula",5.65612006608879,443,0.818127777777778,12.1833333333334,101.791666666667,97
"libellula",3.46200867079023,611,0.883211111111111,10.3145833333334,90.9166666666667,97
"libellula",0,556,0.790183333333333,10.3729166666667,90.25,97
"libellula",4.13318870918085,408,0.834283333333333,11.0020833333334,76.9791666666667,97
"libellula",4.99958462024019,1060,0.807438888888889,7.72500000000002,114.916666666667,97
"libellula",4.99958339759227,698,0.819483333333333,9.49583333333339,116.9375,97
"libellula",0,643,0.841472222222222,10.08125,86.7083333333333,97
"libellula",0,1091,0.8158,7.88333333333338,110.416666666667,97
"libellula",1.88052489030623,541,0.798205555555556,10.4229166666667,96.8541666666667,97
"libellula",0,542,0.889038888888889,10.3750000000001,82.8958333333333,97
"libellula",4.79042114082154,649,0.886694444444445,10.0125,125.791666666667,97
"libellula",44.7208355678913,859,0.831505555555556,10.1270833333334,105.166666666667,97
"libellula",9.99974840974466,1425,0.554394444444444,6.78541666666672,88.5,97
"libellula",3.73105602406135,489,0.800355555555556,11.2833333333334,109.8125,97
"libellula",0,672,0.7178,10.075,92.6875,97
"libellula",4.99966088087264,816,0.868027777777778,8.71875000000006,125,97
"libellula",0,1470,0.771188888888889,5.15000000000003,94.4375,97
"libellula",1.02386854239418,464,0.783344444444444,11.94375,82.375,97
"libellula",57.9114045725611,1265,0.872455555555556,8.76875000000001,149.229166666667,97
"libellula",0,672,0.865183333333334,9.90208333333334,103.083333333333,97
"libellula",55.5574409050785,1278,0.895916666666667,8.6229166666667,141.479166666667,97
"libellula",0,653,0.846761111111111,10.01875,91.8333333333333,97
"libellula",22.2917838080015,1913,0.826494444444445,1.88541666666669,147.166666666667,97
"libellula",2.29716804688777,595,0.737666666666667,10.325,92.9791666666667,97
"libellula",10.0002517841516,1222,0.768044444444444,7.03541666666672,120.5,97
"libellula",0,919,0.880433333333333,7.91666666666669,107.270833333333,97
"libellula",0,550,0.868094444444445,10.6479166666667,84.0416666666667,97
"libellula",0,443,0.818838888888889,11.8291666666667,81.1458333333333,97
"libellula",14.1419800002195,912,0.794583333333333,8.66875000000005,101.708333333333,97
"libellula",66.0258030990018,759,0.908327777777778,11.55625,150.5,97
"libellula",4.99919150362888,595,0.821077777777778,11.25625,96.2291666666667,97
"libellula",4.9997440178525,714,0.8756,10.44375,122.875,97
"libellula",4.99990373246554,725,0.839833333333333,9.86041666666671,118.166666666667,97
"libellula",35.6364929203585,360,0.714305555555556,12.8395833333333,111.6875,97
"libellula",0,689,0.88755,9.7479166666667,100.75,97
"libellula",11.180569522476,1586,0.672855555555556,4.26041666666669,128.125,97
"libellula",0,434,0.809261111111111,11.4979166666667,81.2916666666667,97
"libellula",55.8153077012954,458,0.876011111111111,11.7020833333333,99.9166666666667,97
"libellula",10.0005874128005,1031,0.827227777777778,7.53333333333336,147.75,97
"libellula",14.1425044654196,1137,0.78435,7.4666666666667,116.5625,97
"libellula",0,944,0.8437,7.99583333333339,137.166666666667,97
"libellula",0,529,0.790261111111111,10.8104166666667,86.2708333333333,97
"libellula",22.3606356923032,1123,0.8927,5.96250000000003,158.1875,97
"libellula",0,599,0.827127777777778,11.275,113.9375,97
"libellula",18.0269294623153,1423,0.818205555555556,5.26041666666669,100.395833333333,97
"libellula",0,479,0.853816666666667,10.8333333333334,81.0625,97
"libellula",2.29420593888709,703,0.790544444444444,10.26875,83.3541666666667,97
"libellula",5.0000212112466,1396,0.810227777777778,5.32708333333335,107.104166666667,97
"libellula",3.44515434479102,619,0.882388888888889,10.75625,119.458333333333,97
"libellula",5.00005477446465,717,0.895288888888889,9.20000000000005,133.1875,97
"libellula",4.99967602863534,1167,0.806,7.23541666666671,104,97
"libellula",0,348,0.857094444444444,11.2645833333333,71.8125,97
"libellula",0,429,0.878305555555556,11.1208333333334,81.0833333333333,97
"libellula",2.26282097174926,399,0.782838888888889,12.6729166666667,93.125,97
"libellula",7.52332351629551,667,0.818533333333334,11.0166666666667,102.458333333333,97
"libellula",0,519,0.7358,10.95625,87.2916666666667,97
"libellula",0,766,0.780266666666667,8.93333333333339,117.979166666667,97
"libellula",2.40095374521507,531,0.852983333333334,10.475,93.7916666666667,97
"libellula",62.0067493171603,1104,0.905955555555556,10.5770833333333,144.375,97
"libellula",0,586,0.829716666666667,10.4708333333334,102.583333333333,97
"libellula",56.1354056206488,952,0.894738888888889,9.41666666666669,156.916666666667,97
"libellula",14.1418161214555,1320,0.809316666666667,6.15625000000006,135.979166666667,97
"libellula",14.1424722390704,1386,0.8574,5.3416666666667,130.520833333333,97
"libellula",7.07093079879694,1106,0.842294444444444,7.47708333333338,153.083333333333,97
"libellula",0,900,0.74015,8.50833333333338,70.0833333333333,97
"libellula",68.9890953352568,464,0.804533333333333,12.7604166666667,164.9375,97
"libellula",0,467,0.843444444444444,10.9166666666667,113,97
"libellula",0,649,0.854455555555556,10.1375,96.9375,97
"libellula",14.9999943162849,1246,0.798555555555556,6.50208333333336,81.2291666666667,97
"libellula",9.99993429592349,738,0.849922222222222,9.20208333333335,88.5208333333333,97
"libellula",1.737766625433,492,0.625722222222222,10.8958333333334,103.666666666667,97
"libellula",0,786,0.869327777777778,10.1916666666667,99.8958333333333,97
"libellula",31.7062865520693,605,0.8567,12.0979166666667,114.5625,97
"libellula",4.99939353948004,771,0.815572222222222,9.47916666666669,97.9583333333333,97
"libellula",10.0000296273854,602,0.81385,10.4395833333334,108.125,97
"libellula",3.46349974470845,968,0.784527777777778,8.48958333333337,118.5625,97
"libellula",5.00022815881853,875,0.823622222222222,9.67708333333337,85.0833333333333,97
"libellula",1.174734396786,546,0.838077777777778,10.5000000000001,94.6666666666667,97
"libellula",4.99913206421784,2129,0.804177777777778,1.06666666666672,116.604166666667,97
"libellula",5.0005372253453,1047,0.819077777777778,7.52708333333339,111.916666666667,97
"libellula",0,735,0.759338888888889,9.54583333333335,98.8958333333333,97
"libellula",0,702,0.816533333333333,11.4770833333334,70.5208333333333,97
"libellula",7.07112196729196,998,0.878861111111111,7.74583333333339,93.2916666666667,97
"libellula",0,459,0.807888888888889,11.1166666666667,82.1666666666667,97
"libellula",0,525,0.778805555555555,10.7354166666667,82.6458333333333,97
"libellula",0,676,0.848794444444445,10.1604166666667,130.666666666667,97
"libellula",55.4266975267748,1176,0.871411111111111,8.9354166666667,149.916666666667,97
"libellula",3.69506313734012,489,0.800355555555556,11.2833333333334,109.8125,97
"libellula",9.99984037059273,952,0.874777777777778,8.3104166666667,163.0625,97
"libellula",14.0641278107859,1143,0.75725,7.4666666666667,116.5625,97
"libellula",0,591,0.84045,10.6125,109.270833333333,97
"libellula",14.9999044548836,1126,0.847083333333333,7.20000000000005,155.75,97
"libellula",1.80879094527769,525,0.796616666666667,10.3875,95.2708333333333,97
"libellula",4.9999710168685,608,0.881922222222222,10.4479166666667,77.2083333333333,97
"libellula",1.3111070807776,427,0.77105,12.00625,90.5208333333333,97
"libellula",0,620,0.826894444444444,10.1041666666667,92.2708333333333,97
"libellula",0,813,0.829827777777778,9.05833333333339,101.020833333333,97
"libellula",5.00010708490141,1335,0.774705555555556,6.27291666666667,80,97
"libellula",0,598,0.848972222222222,10.06875,107.270833333333,97
"libellula",18.7957519290389,1638,0.7747,4.00416666666672,179.604166666667,97
"libellula",7.07092562570156,1169,0.7719,7.19375000000002,116.375,97
"libellula",1.13356298773561,370,0.796194444444445,11.2708333333334,83.5625,97
"libellula",7.07161844246391,1049,0.785994444444445,8.03125000000006,119,97
"libellula",0,1089,0.874322222222222,8.18750000000006,106.458333333333,97
"libellula",11.1802255248236,1545,0.808205555555556,5.58541666666667,103.4375,97
"libellula",2.50879685268042,641,0.831722222222222,9.92916666666667,99.1458333333333,97
"libellula",11.1799996435682,1359,0.835783333333333,6.60625000000005,139.791666666667,97
"libellula",3.74342630997299,501,0.884527777777778,10.5604166666667,87.6666666666667,97
"libellula",7.07131419968623,979,0.802666666666667,7.94375000000002,128.479166666667,97
"libellula",15.8111850863326,1213,0.850088888888889,5.64375000000001,115.5625,97
"libellula",2.29834594915289,595,0.625794444444444,10.325,92.9791666666667,97
"libellula",0,715,0.875183333333333,10.6958333333334,110.333333333333,97
"libellula",5.00030782308206,1165,0.832127777777778,7.62500000000006,127.645833333333,97
"libellula",49.2438416315908,2289,0.520927777777778,2.57916666666671,125.708333333333,97
"libellula",5.00003951083781,1152,0.740633333333334,6.09583333333336,102.354166666667,97
"libellula",0,571,0.849305555555556,10.9020833333333,79.125,97
"libellula",3.70070350008786,489,0.800355555555556,11.2833333333334,109.8125,97
"libellula",5.00022893717808,2184,0.767733333333333,1.07083333333338,126.145833333333,97
"libellula",0,950,0.828383333333333,8.15625000000006,107.583333333333,97
"libellula",7.07132784038773,1140,0.7455,7.61875000000003,99.4583333333333,97
"libellula",10.0004951952988,977,0.841105555555556,7.93125000000003,90.25,97
"libellula",1.92246926861682,527,0.796616666666667,10.3875,95.2708333333333,97
"libellula",4.99982430592195,662,0.748088888888889,10.0229166666667,113.479166666667,97
"libellula",18.7948285167419,1638,0.7747,4.00416666666672,179.604166666667,97
"libellula",5.1527978975226,623,0.858916666666667,11.2520833333334,116.479166666667,97
"libellula",0,790,0.846544444444444,9.18125000000003,100.5,97
"libellula",57.8746555701778,1265,0.872455555555556,8.76875000000001,149.229166666667,97
"libellula",4.99939438962727,606,0.876611111111111,10.3458333333334,89.2708333333333,97
"libellula",0,484,0.893022222222222,10.7812500000001,81.6666666666667,97
"libellula",0.858205519123481,373,0.696622222222222,11.21875,86.7083333333333,97
"libellula",0,697,0.813938888888889,9.98333333333335,101.666666666667,97
