"eco_values","species","latitude","longitude","date_obs","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","occurrence_id","t_mean_c","prec_mean_annual","elevation","slope_deg","aspect_deg","aspect_class","NDVI","temp_class","prec_class","distance_to_nearest_castor_m","distance_to_nearest_castor_km"
107,"Libellula depressa",46.9974,9.64112,"2022-06-19","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5907,7.32708333333335,117.854166666667,1091,17.3110540155378,123.781654930181,"East",0.83175,"(6.94,8.51]","(115,129]",4999.79568653296,4.99979568653296
107,"Libellula depressa",47.45284,9.32836,NA,"gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5918,8.89166666666671,118.854166666667,810,6.64939563283976,142.772525219805,"South",0.791227777777778,"(8.51,10.1]","(115,129]",0,0
107,"Libellula depressa",47.41191,9.06185,"2021-06-27","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5921,10.0020833333334,103.854166666667,618,4.13462467585322,100.201709611269,"East",0.676405555555556,"(8.51,10.1]","(102,115]",0,0
107,"Libellula depressa",47.49887,9.26362,"2022-05-18","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5923,10.4062500000001,101.8125,505,5.71866154167065,359.615350869023,"North",0.795666666666667,"(10.1,11.6]","(102,115]",0,0
107,"Libellula depressa",46.25258,6.88753,"2022-07-14","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5927,2.40625000000006,159.625,1894,14.5702664145003,168.484090301852,"South",0.817216666666667,"(2.24,3.81]","(156,170]",4999.55280602107,4.99955280602107
107,"Libellula depressa",47.15003,8.32863,"2023-06-19","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5929,11.16875,104.8125,488,1.02158825480266,167.013572008441,"South",0.678055555555556,"(10.1,11.6]","(102,115]",0,0
107,"Libellula depressa",46.38682,8.12112,"2022-07-06","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5930,8.29583333333335,112.083333333333,1026,6.19550219351015,307.950882935365,"West",0.750027777777778,"(6.94,8.51]","(102,115]",18027.5139403507,18.0275139403507
107,"Libellula depressa",46.29787,7.92533,"2024-06-04","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5935,9.8416666666667,71.5,647,8.08985063357488,355.756287213229,"North",0.701972222222222,"(8.51,10.1]","(60.6,74.4]",0,0
107,"Libellula depressa",47.260332,8.740011,"2020-04-25","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5937,10.4291666666667,105.916666666667,558,2.90420986319386,30.085216319084,"North",0.814916666666667,"(10.1,11.6]","(102,115]",4621.37393235912,4.62137393235912
107,"Libellula depressa",47.341539,9.449067,"2025-05-31","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5945,7.68750000000006,131,1030,5.78791695764582,192.992733974658,"South",0.8328,"(6.94,8.51]","(129,143]",9383.5217522225,9.3835217522225
107,"Libellula depressa",46.505228,7.284182,"2022-06-07","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5948,6.35208333333338,120.895833333333,1263,10.5337192165128,157.243053362257,"South",0.744833333333333,"(5.37,6.94]","(115,129]",15778.2615488533,15.7782615488533
107,"Libellula depressa",47.341346,9.449186,"2025-06-19","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5953,7.86875000000003,129.791666666667,1030,5.78791695764582,192.992733974658,"South",0.8328,"(6.94,8.51]","(129,143]",9379.37283661994,9.37937283661994
107,"Libellula depressa",46.70314,7.07905,"2023-05-22","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5959,9.52500000000003,104.645833333333,782,6.42514886015969,50.3947376821104,"East",0.7752,"(8.51,10.1]","(102,115]",5000.35442609922,5.00035442609922
107,"Libellula depressa",47.24318,7.20749,"2025-08-12","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5961,8.95208333333335,90.625,777,1.17227135954423,29.3678824148147,"North",0.716455555555556,"(8.51,10.1]","(88.1,102]",4999.66096929069,4.99966096929069
107,"Libellula depressa",47.10397,8.45962,"2022-05-13","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5974,11.0916666666667,119.9375,507,8.09039579227589,223.633619453713,"South",0.791922222222222,"(10.1,11.6]","(115,129]",0,0
