"species","latitude","longitude","date_obs","source"
"Castor fiber",46.38781,6.95115,2025-02-28,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29887,7.53598,2025-02-20,"gbif"
"Castor fiber",46.38751,6.88615,2025-02-21,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.88339,7.20904,2025-02-12,"gbif"
"Castor fiber",46.29887,7.53598,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.38751,6.88615,2025-02-21,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.88339,7.20904,2025-02-12,"gbif"
"Castor fiber",46.29887,7.53598,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",47.51267,7.80369,2025-02-19,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29887,7.53598,2025-02-20,"gbif"
"Castor fiber",47.409939,8.115925,2025-03-09,"gbif"
"Castor fiber",46.260283,7.453183,2025-03-12,"gbif"
"Castor fiber",46.298788,7.589142,2025-03-23,"gbif"
"Castor fiber",46.922353,9.558761,2025-03-01,"gbif"
"Castor fiber",47.618611,9.155,2025-03-02,"gbif"
"Castor fiber",47.515293,7.616174,2025-03-09,"gbif"
"Castor fiber",47.439387,9.157022,2025-03-23,"gbif"
"Castor fiber",47.578812,8.886019,2025-03-28,"gbif"
"Castor fiber",47.580107,8.882881,2025-03-28,"gbif"
"Castor fiber",47.549745,8.351603,2025-03-07,"gbif"
"Castor fiber",46.87653,7.499458,2025-03-30,"gbif"
"Castor fiber",46.974926,7.054873,2025-03-30,"gbif"
"Castor fiber",47.579907,8.882661,2025-03-28,"gbif"
"Castor fiber",47.487859,9.225129,2025-03-24,"gbif"
"Castor fiber",47.130268,9.077033,2025-03-19,"gbif"
"Castor fiber",47.459912,9.162458,2025-03-25,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-11,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-11,"gbif"
"Castor fiber",47.28494,8.33088,2025-03-22,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-19,"gbif"
"Castor fiber",47.28759,7.86825,2025-03-19,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-19,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-27,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-19,"gbif"
"Castor fiber",47.04481,9.51143,2025-03-08,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",46.79344,7.66784,2025-03-22,"gbif"
"Castor fiber",46.25393,7.47106,2025-03-28,"gbif"
"Castor fiber",46.11843,7.08292,2025-03-08,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-19,"gbif"
